trip_distance,passenger_count,tip_amount
3.58,1,3.56
2.0,2,2.26
10.2,0,0.0
4.98,1,4.16
3.14,1,0.0
2.04,4,1.5
1.1,1,0.0
1.84,4,2.06
8.63,1,8.6
2.64,2,2.5
2.4,1,2.15
8.48,1,0.0
5.22,1,4.26
16.77,4,10.0
7.07,1,5.16
0.7,1,0.0
0.75,1,1.66
10.07,1,0.0
18.5,2,11.78
2.1,1,1.0
0.3,0,0.5
12.21,1,0.0
1.33,2,2.06
0.0,1,0.0
0.59,1,0.0
5.74,1,2.0
0.37,1,0.0
1.8,1,0.0
2.91,1,1.5
2.8,1,2.86
1.8,2,2.95
2.5,1,2.5
1.91,5,0.0
1.83,1,3.39
1.0,2,1.0
0.5,1,1.1
6.45,1,5.56
0.3,1,1.8
0.56,1,2.95
3.88,1,5.82
1.3,1,1.0
1.28,2,2.36
0.5,1,1.66
5.58,5,5.46
0.94,1,3.32
1.47,5,0.0
1.44,1,2.96
2.65,1,0.0
0.52,1,1.46
1.04,1,2.06
1.6,1,2.15
2.8,1,2.75
5.28,2,4.66
3.5,1,0.0
1.92,3,0.0
7.68,1,6.68
1.6,1,1.7
3.1,1,3.55
1.63,1,3.96
4.06,1,3.2
3.9,1,3.35
0.76,1,0.0
1.08,1,0.0
3.3,1,2.0
0.99,1,1.86
1.6,1,1.0
0.9,1,2.0
1.13,5,2.06
3.99,1,0.0
3.36,1,4.0
2.9,0,3.16
0.85,1,0.0
0.63,1,2.49
4.15,2,3.0
0.9,2,1.95
7.3,1,3.0
0.2,1,2.45
0.98,1,0.0
2.6,1,4.05
0.76,2,1.76
1.11,1,2.0
0.0,4,9.86
1.4,1,0.0
2.73,1,0.0
1.28,1,0.0
0.8,5,0.0
1.3,3,3.0
2.49,2,3.0
2.1,1,2.45
0.88,1,0.0
1.17,1,0.0
1.23,1,0.0
0.6,2,0.0
1.9,1,0.0
1.2,0,2.0
2.29,1,0.0
0.9,2,1.0
3.11,1,0.0
0.49,1,1.46
1.6,1,2.15
0.0,2,0.0
12.92,2,11.96
1.0,1,1.0
1.1,1,1.5
3.02,1,0.0
1.5,4,3.08
0.7,1,1.0
2.1,2,2.95
2.3,1,1.53
1.1,0,2.0
1.6,1,2.65
0.5,1,0.0
1.44,6,2.82
0.8,1,0.0
2.44,2,3.36
0.92,1,2.16
1.16,1,1.7
1.8,1,5.0
1.1,1,1.65
0.91,1,1.0
0.8,1,0.0
1.07,3,2.16
1.59,1,2.46
0.47,1,0.0
2.5,1,3.15
2.0,1,0.0
2.0,1,2.65
0.72,1,2.45
0.0,1,1.7
1.6,2,2.0
2.05,1,0.0
7.45,1,7.76
1.66,3,2.46
1.49,1,0.0
1.6,1,2.45
0.86,5,1.46
0.9,1,1.7
2.41,2,3.06
0.96,1,1.5
1.4,1,2.55
1.63,1,1.08
1.16,1,2.7
0.6,1,0.0
2.1,1,2.46
0.61,1,0.0
10.1,1,4.0
0.96,1,1.96
1.89,1,1.5
2.76,1,3.26
5.6,1,4.56
1.39,1,2.7
11.73,1,8.68
1.49,3,2.16
1.76,5,2.26
1.09,1,3.09
2.04,2,2.2
3.43,1,0.0
4.05,1,0.0
0.71,1,1.66
2.76,1,4.2
1.02,1,1.96
0.9,1,0.0
1.25,1,3.24
6.79,1,0.0
2.57,1,3.26
0.5,1,1.55
2.2,1,3.7
2.38,1,2.86
1.19,1,1.96
1.4,1,2.05
6.33,1,4.56
5.87,2,2.08
3.16,1,3.36
11.7,1,7.25
1.5,1,1.08
2.71,2,3.16
2.2,1,2.75
7.68,1,5.0
18.13,1,0.0
11.34,1,0.0
2.5,1,3.3
3.3,1,5.2
2.07,1,0.0
0.5,1,1.55
3.7,1,3.55
2.3,1,1.77
1.7,0,0.0
0.83,1,1.76
3.2,1,3.35
3.2,1,0.0
22.89,2,10.0
0.73,2,0.66
2.07,1,0.0
4.14,1,0.0
0.87,1,0.0
0.8,1,1.17
1.59,1,2.0
1.3,2,1.95
11.4,1,0.0
0.01,1,0.0
3.28,1,2.52
2.42,1,1.0
0.9,1,0.0
2.91,5,0.0
1.51,1,3.06
0.81,1,1.76
0.48,1,0.0
1.07,2,0.4
1.38,1,2.26
1.21,1,0.0
3.9,1,4.95
0.7,1,2.26
3.92,5,4.06
1.93,5,2.0
2.3,1,2.86
2.62,6,3.06
12.09,1,0.0
2.7,1,3.15
1.87,1,2.56
1.4,1,1.18
9.9,1,7.5
1.36,1,2.0
1.61,1,2.16
0.0,1,0.66
2.12,1,1.5
0.76,1,1.76
2.9,1,3.65
0.4,1,1.46
1.0,1,2.05
0.5,2,1.2
10.29,5,0.0
3.44,6,3.56
0.7,1,0.0
2.2,1,2.0
1.0,1,0.0
1.29,1,2.25
1.33,5,3.99
1.71,6,2.46
2.23,1,3.06
1.72,1,2.36
0.75,1,0.0
0.19,1,1.26
5.56,1,4.76
1.59,1,1.0
2.32,1,1.33
0.85,1,1.16
0.92,1,1.86
1.3,1,0.0
0.9,2,2.9
0.5,2,2.3
1.42,1,1.46
1.02,1,2.06
1.63,1,0.0
0.5,2,0.0
13.5,0,0.0
0.55,1,0.0
0.72,1,1.96
1.41,2,2.36
0.52,1,1.82
0.0,1,10.4
18.52,1,3.0
1.95,1,2.76
3.0,1,1.0
0.46,1,1.46
9.84,1,5.86
5.98,1,0.0
3.2,1,0.0
0.76,1,1.74
0.3,1,0.0
1.2,3,2.0
1.73,1,2.56
0.39,1,2.19
0.93,1,1.76
1.86,1,2.46
1.0,1,1.0
0.42,5,1.56
1.02,1,1.96
3.58,1,0.0
1.4,1,2.25
2.08,1,2.2
1.55,1,2.26
17.46,3,12.28
3.1,1,2.0
2.61,1,0.79
6.6,1,0.0
1.6,1,2.25
0.3,1,0.0
1.2,2,2.05
0.09,1,0.0
1.21,1,0.0
1.7,2,0.0
0.6,1,1.85
1.56,1,2.16
0.5,1,0.0
3.03,1,0.0
2.3,4,0.0
0.39,5,0.0
0.4,1,2.49
1.37,2,1.0
1.97,1,2.86
2.91,1,5.19
0.96,5,1.5
1.11,1,1.77
3.29,1,0.0
1.7,1,1.0
1.04,2,0.0
1.21,1,1.96
2.1,1,2.96
0.56,1,1.86
1.0,1,0.0
17.03,1,13.18
0.92,1,1.96
1.17,1,0.0
3.2,1,2.08
1.49,1,2.0
0.4,1,0.0
1.7,2,2.66
5.83,1,4.96
1.6,1,0.0
4.68,1,3.12
1.34,2,2.26
0.92,2,1.7
0.52,1,0.93
2.52,1,0.0
1.4,3,1.23
1.77,1,2.33
0.76,1,0.0
1.7,1,2.0
0.6,1,0.0
1.4,1,2.01
3.5,1,3.65
21.42,1,13.18
4.63,1,2.0
0.5,1,1.75
2.39,1,2.66
3.7,1,3.76
2.6,1,3.06
1.32,2,2.16
1.11,1,1.0
1.05,1,1.0
1.64,1,2.26
1.0,1,0.0
7.35,5,5.56
2.23,1,2.56
1.09,1,0.0
2.07,1,2.2
1.0,1,1.55
19.2,2,17.0
1.25,1,2.06
9.21,5,6.86
1.59,6,1.18
1.24,2,0.0
2.87,1,2.0
2.01,1,2.46
4.21,1,3.0
0.88,2,0.0
7.5,1,5.96
1.6,1,2.36
1.18,1,0.0
5.1,1,5.05
1.2,1,0.47
0.5,1,1.55
9.95,1,5.0
5.7,1,6.95
2.7,2,3.0
1.6,1,3.5
3.28,1,0.0
1.08,3,1.96
1.07,1,0.0
2.78,1,2.66
1.44,1,2.46
7.28,4,1.0
19.58,1,25.0
2.97,1,3.16
1.74,1,0.0
6.37,3,4.76
5.5,1,2.5
4.76,1,0.0
1.55,1,2.16
2.01,1,2.46
1.21,1,0.5
6.6,1,1.0
0.3,1,0.0
0.7,1,1.56
2.1,1,0.0
1.28,1,0.0
2.76,3,2.0
2.7,1,3.06
0.84,1,2.45
0.8,6,1.2
3.68,1,0.0
1.18,1,1.0
0.88,1,1.76
9.27,4,0.0
1.8,1,1.0
1.8,1,2.95
2.23,1,2.56
0.95,2,0.0
2.47,1,5.04
1.28,1,0.0
0.58,1,2.2
1.9,1,1.5
0.8,6,0.0
0.76,2,1.76
1.41,1,1.0
3.2,1,3.95
1.02,1,0.2
3.35,1,3.56
2.2,1,0.0
3.83,1,0.0
1.6,1,0.0
2.6,1,4.2
1.81,1,0.0
1.35,1,1.77
0.72,2,0.0
2.16,6,0.0
1.75,3,2.96
1.77,1,2.09
0.3,1,1.35
1.21,1,0.0
2.07,1,3.76
1.22,3,1.0
0.8,1,2.2
0.7,1,1.95
2.0,3,3.06
1.7,1,2.76
0.08,5,0.0
0.98,1,0.0
0.94,6,0.0
2.08,1,0.0
2.1,1,2.2
0.3,1,0.0
0.6,2,1.66
0.5,1,1.65
1.49,1,3.26
1.3,1,0.0
1.18,1,2.0
3.62,1,4.26
0.8,1,0.0
2.16,5,2.0
0.75,3,1.66
2.6,2,3.0
2.15,5,1.23
8.76,1,6.16
0.48,2,0.0
0.5,1,2.2
5.3,1,0.0
1.74,1,2.76
1.11,1,1.03
1.8,1,2.85
4.11,5,4.46
2.38,1,2.76
1.57,6,3.56
1.79,1,2.76
0.8,1,0.0
0.73,1,1.76
1.12,3,1.47
0.6,1,2.08
0.0,1,0.0
2.16,1,2.86
3.58,4,1.0
0.65,2,0.4
2.14,2,0.0
2.63,1,3.46
0.4,1,1.65
0.67,1,1.76
0.68,1,2.64
1.3,1,2.0
0.53,1,1.56
1.25,1,2.16
0.7,1,2.49
0.83,1,2.26
1.09,1,2.26
0.42,1,0.0
3.0,1,3.0
1.8,1,2.75
1.15,1,2.16
1.45,4,2.56
0.89,1,0.0
2.33,1,3.95
0.9,1,2.05
1.35,1,6.0
2.14,1,1.0
1.33,4,0.0
2.7,0,0.0
2.37,1,1.2
1.02,3,1.86
2.09,1,3.16
4.4,0,0.0
1.22,2,2.16
1.99,1,0.0
1.14,2,2.82
1.9,1,3.45
2.62,4,3.0
1.6,1,3.15
1.74,2,1.0
2.39,1,3.36
3.58,1,3.56
1.7,1,2.3
10.81,1,4.0
